"Brewery_id","Brewery_Name","City","State","Beer_Name","Beer_ID","ABV","IBU","Style","Ounces"
93,"Jackie O's Pub & Brewery","Athens","OH","Chomolungma Honey Nut Brown Ale",687,0.067,NA,"English Brown Ale",12
93,"Jackie O's Pub & Brewery","Athens","OH","Firefly Amber Ale",688,0.05,NA,"American Amber / Red Ale",12
94,"Rhinegeist Brewery","Cincinnati","OH","Pure Fury",2451,0.055,42,"American Pale Ale (APA)",12
94,"Rhinegeist Brewery","Cincinnati","OH","Cougar",1851,0.048,25,"American Blonde Ale",12
94,"Rhinegeist Brewery","Cincinnati","OH","Franz",1992,0.052,21,"Märzen / Oktoberfest",12
94,"Rhinegeist Brewery","Cincinnati","OH","Dad",2132,0.06,60,"American Amber / Red Ale",12
94,"Rhinegeist Brewery","Cincinnati","OH","Hustle",2452,0.057,42,"American Amber / Red Ale",12
94,"Rhinegeist Brewery","Cincinnati","OH","Truth",1852,0.072,75,"American IPA",12
94,"Rhinegeist Brewery","Cincinnati","OH","Zen",1935,0.043,45,"American Pale Ale (APA)",12
94,"Rhinegeist Brewery","Cincinnati","OH","Panther",1993,0.058,35,"American Porter",12
95,"Warped Wing Brewing Company","Dayton","OH","Ermal's",2223,0.054,20,"Cream Ale",16
95,"Warped Wing Brewing Company","Dayton","OH","Flyin' Rye",2221,0.07,NA,"American IPA",16
95,"Warped Wing Brewing Company","Dayton","OH","Self Starter",2450,0.052,67,"American IPA",16
95,"Warped Wing Brewing Company","Dayton","OH","10 Ton",2222,0.07,NA,"Oatmeal Stout",16
96,"Blackrocks Brewery","Marquette","MA","Flying Sailor",2449,0.073,NA,"Rye Beer",12
97,"Catawba Valley Brewing Company","Morganton","NC","King Coconut",2106,0.054,NA,"American Porter",12
97,"Catawba Valley Brewing Company","Morganton","NC","Peanut Butter Jelly Time",2446,0.058,NA,"American Brown Ale",12
98,"Tröegs Brewing Company","Hershey","PA","Sunshine Pils",2203,0.045,45,"American Pilsner",12
98,"Tröegs Brewing Company","Hershey","PA","Nugget Nectar",2444,0.075,93,"American Amber / Red Ale",16
98,"Tröegs Brewing Company","Hershey","PA","Troegenator",2445,0.082,NA,"Doppelbock",16
98,"Tröegs Brewing Company","Hershey","PA","Perpetual IPA",1509,0.075,85,"American IPA",12
98,"Tröegs Brewing Company","Hershey","PA","Troegenator Doublebock",1510,0.082,25,"Doppelbock",16
99,"Mission Brewery","San Diego","CA","Cortez Gold",2442,0.05,NA,"Belgian Pale Ale",32
99,"Mission Brewery","San Diego","CA","Mission IPA",2441,0.068,66,"American IPA",32
99,"Mission Brewery","San Diego","CA","El Conquistador Extra Pale Ale",1460,0.048,44,"American Pale Ale (APA)",32
99,"Mission Brewery","San Diego","CA","Shipwrecked Double IPA",1459,0.092,75,"American Double / Imperial IPA",32
100,"Christian Moerlein Brewing Company","Cincinnati","OH","Bay of Bengal Double IPA (2014)",2440,0.089,126,"American Double / Imperial IPA",12
101,"West Sixth Brewing","Lexington","KY","Christmas Ale",2439,0.09,NA,"Herbed / Spiced Beer",12
101,"West Sixth Brewing","Lexington","KY","West Sixth IPA",652,NA,NA,"American IPA",12
101,"West Sixth Brewing","Lexington","KY","Pay It Forward Cocoa Porter",2356,0.07,NA,"American Porter",12
101,"West Sixth Brewing","Lexington","KY","West Sixth Amber Ale",1069,0.055,NA,"American Amber / Red Ale",12
102,"Coastal Extreme Brewing Company","Newport","RI","Rhode Island Blueberry",2438,0.046,11,"Kölsch",12
102,"Coastal Extreme Brewing Company","Newport","RI","Newport Storm IPA",2437,0.065,75,"American IPA",12
102,"Coastal Extreme Brewing Company","Newport","RI","Hurricane Amber Ale (2004)",751,0.052,24,"American Amber / Red Ale",12
102,"Coastal Extreme Brewing Company","Newport","RI","Hurricane Amber Ale",120,0.052,24,"American Amber / Red Ale",12
103,"King Street Brewing Company","Anchorage","AK","Amber Ale",2436,0.051,NA,"American Amber / Red Ale",12
103,"King Street Brewing Company","Anchorage","AK","King Street Blonde Ale",1665,0.049,NA,"American Blonde Ale",12
103,"King Street Brewing Company","Anchorage","AK","King Street Pilsner",1706,0.055,NA,"Czech Pilsener",12
103,"King Street Brewing Company","Anchorage","AK","King Street IPA",1667,0.06,70,"American IPA",12
103,"King Street Brewing Company","Anchorage","AK","King Street Hefeweizen",1666,0.057,10,"Hefeweizen",12
104,"Beer Works Brewery","Lowell","MA","Fenway American Pale Ale",2423,0.058,45,"American Pale Ale (APA)",12
104,"Beer Works Brewery","Lowell","MA","Bunker Hill Blueberry Ale ",2419,0.048,16,"Other",12
104,"Beer Works Brewery","Lowell","MA","Back Bay IPA",2420,0.068,85,"American IPA",12
104,"Beer Works Brewery","Lowell","MA","Watermelon Ale",2435,0.05,10,"Fruit / Vegetable Beer",12
105,"Lone Tree Brewing Company","Lone Tree","CO","Peach Pale Ale",2434,0.057,40,"American Pale Ale (APA)",12
106,"Four String Brewing Company","Columbus","OH","Suncaster Summer Wheat",2427,0.05,28,"American Pale Wheat Ale",12
106,"Four String Brewing Company","Columbus","OH","Big Star White IPA",2424,0.07,70,"American White IPA",12
106,"Four String Brewing Company","Columbus","OH","Brass Knuckle Pale Ale",2425,0.057,36,"American Pale Ale (APA)",12
106,"Four String Brewing Company","Columbus","OH","Four String Vanilla Porter",2428,0.06,NA,"American Porter",12
107,"Glabrous Brewing Company","Pineland","ME","Clean Shave IPA",2426,0.067,70,"American IPA",12
108,"Bonfire Brewing Company","Eagle","CO","Slow & Steady Golden Ale",1548,0.047,NA,"American Blonde Ale",12
108,"Bonfire Brewing Company","Eagle","CO","Demshitz Brown Ale",996,0.058,NA,"American Brown Ale",12
108,"Bonfire Brewing Company","Eagle","CO","Tent Pole Vanilla Porter",998,0.061,NA,"American Porter",16
108,"Bonfire Brewing Company","Eagle","CO","Firestarter India Pale Ale",2422,0.066,72,"American IPA",12
108,"Bonfire Brewing Company","Eagle","CO","Gyptoberfest",1613,0.056,26,"Märzen / Oktoberfest",12
108,"Bonfire Brewing Company","Eagle","CO","Moe's Original Bar B Que 'Bama Brew Golden Ale",1500,0.047,NA,"American Blonde Ale",12
108,"Bonfire Brewing Company","Eagle","CO","Kindler Pale Ale",1183,0.053,45,"American Pale Ale (APA)",12
108,"Bonfire Brewing Company","Eagle","CO","Farmer Wirtz India Pale Ale",1549,0.07,94,"English India Pale Ale (IPA)",16
108,"Bonfire Brewing Company","Eagle","CO","Brush Creek Blonde",798,0.048,NA,"American Blonde Ale",16
108,"Bonfire Brewing Company","Eagle","CO","Wood Splitter Pilsner (2012)",931,0.048,NA,"Czech Pilsener",12
108,"Bonfire Brewing Company","Eagle","CO","Pink-I Raspberry IPA",1517,0.068,NA,"American IPA",16
108,"Bonfire Brewing Company","Eagle","CO","Wood Splitter Pilsner",1614,0.048,30,"Czech Pilsener",16
108,"Bonfire Brewing Company","Eagle","CO","Awry Rye Pale Ale",997,0.058,NA,"American Pale Ale (APA)",12
108,"Bonfire Brewing Company","Eagle","CO","Live Local Golden Ale",1421,0.047,NA,"American Blonde Ale",12
108,"Bonfire Brewing Company","Eagle","CO","Mistress Winter Wheat",1023,0.064,NA,"Winter Warmer",12
108,"Bonfire Brewing Company","Eagle","CO","Dirtbag Dunkel",1184,0.049,NA,"Munich Dunkel Lager",16
108,"Bonfire Brewing Company","Eagle","CO","Firestarter India Pale Ale",633,0.066,72,"American IPA",16
108,"Bonfire Brewing Company","Eagle","CO","Kilt Dropper Scotch Ale",1727,0.075,22,"Scotch Ale / Wee Heavy",16
108,"Bonfire Brewing Company","Eagle","CO","Screaming Eagle Special Ale ESB",1360,0.048,38,"Extra Special / Strong Bitter (ESB)",12
109,"Thomas Hooker Brewing Company","Bloomfield","CT","Watermelon Ale",2421,0.051,11,"Fruit / Vegetable Beer",12
110,"Woodstock Inn, Station & Brewery","North Woodstock","NH","4000 Footer IPA",2417,0.065,82,"American IPA",12
110,"Woodstock Inn, Station & Brewery","North Woodstock","NH","Summer Brew",2306,0.028,15,"American Pilsner",12
111,"Renegade Brewing Company","Denver","CO","5:00 O'Clock Afternoon Ale",1005,0.05,25,"American Blonde Ale",16
111,"Renegade Brewing Company","Denver","CO","Redacted Rye IPA",1176,0.07,100,"American IPA",16
111,"Renegade Brewing Company","Denver","CO","Consilium",2414,0.05,40,"American Pale Ale (APA)",12
111,"Renegade Brewing Company","Denver","CO","Ryeteous Rye IPA (2012)",636,0.07,100,"American IPA",16
111,"Renegade Brewing Company","Denver","CO","Hammer & Sickle",1581,0.09,60,"Russian Imperial Stout",12
111,"Renegade Brewing Company","Denver","CO","Elevation Triple India Pale Ale",1006,0.099,100,"American Double / Imperial IPA",12
112,"Mother Earth Brew Company","Vista","CA","Cali Creamin'",2413,0.052,21,"Cream Ale",12
113,"Black Market Brewing Company","Temecula","CA","Black Market Hefeweizen",1897,0.05,8,"Hefeweizen",12
113,"Black Market Brewing Company","Temecula","CA","Deception",2412,0.045,16,"American Blonde Ale",12
113,"Black Market Brewing Company","Temecula","CA","Aftermath Pale Ale",1896,0.058,44,"American Pale Ale (APA)",12
113,"Black Market Brewing Company","Temecula","CA","Blackmarket Rye IPA",1898,0.075,35,"American IPA",12
114,"Vault Brewing Company","Yardley","PA","Nitro Can Coffee Stout",2411,0.052,NA,"American Stout",12
115,"Jailbreak Brewing Company","Laurel","MD","Welcome to Scoville",2408,0.069,NA,"American IPA",12
116,"Smartmouth Brewing Company","Norfolk","VA","Murphy's Law",2406,0.058,35,"American Amber / Red Ale",12
116,"Smartmouth Brewing Company","Norfolk","VA","Alter Ego ",2405,0.062,33,"Saison / Farmhouse Ale",12
116,"Smartmouth Brewing Company","Norfolk","VA","Rule G IPA",2407,0.07,88,"American IPA",12
117,"Base Camp Brewing Co.","Portland","OR","In-Tents India Pale Lager",2189,0.068,62,"American Pale Lager",12
117,"Base Camp Brewing Co.","Portland","OR","Hop in the ‘Pool Helles",2404,0.049,22,"American Pilsner",12
117,"Base Camp Brewing Co.","Portland","OR","Lost Meridian Wit",2188,0.05,20,"Witbier",12
117,"Base Camp Brewing Co.","Portland","OR","Ultra Gnar Gnar IPA",2323,0.067,60,"American IPA",12
117,"Base Camp Brewing Co.","Portland","OR","Celestial Meridian Cascadian Dark Lager",2187,0.051,45,"Euro Dark Lager",12
118,"Alameda Brewing","Portland","OR","Klickitat Pale Ale",2402,0.053,36,"American Pale Ale (APA)",12
118,"Alameda Brewing","Portland","OR","P-Town Pilsner",2403,0.04,20,"American Pilsner",12
118,"Alameda Brewing","Portland","OR","Yellow Wolf Imperial IPA",2401,0.082,103,"American Double / Imperial IPA",12
119,"Southern Star Brewing Company","Conroe","TX","PRO-AM (2012) (2012)",853,0.099,100,"American Double / Imperial IPA",12
119,"Southern Star Brewing Company","Conroe","TX","Red Cockaded Ale (2013)",1011,0.085,110,"American Double / Imperial IPA",12
119,"Southern Star Brewing Company","Conroe","TX","Old Potentate",1010,0.072,40,"Old Ale",12
119,"Southern Star Brewing Company","Conroe","TX","Valkyrie Double IPA",1497,0.092,100,"American Double / Imperial IPA",12
119,"Southern Star Brewing Company","Conroe","TX","Le Mort Vivant (2011)",555,0.069,23,"Bière de Garde",12
119,"Southern Star Brewing Company","Conroe","TX","Walloon",2267,0.055,NA,"Saison / Farmhouse Ale",12
119,"Southern Star Brewing Company","Conroe","TX","Red Cockaded Ale",1728,0.085,110,"American Double / Imperial IPA",12
119,"Southern Star Brewing Company","Conroe","TX","Bombshell Blonde",856,0.05,20,"American Blonde Ale",16
119,"Southern Star Brewing Company","Conroe","TX","Pine Belt Pale Ale",2387,0.065,45,"American Pale Ale (APA)",12
119,"Southern Star Brewing Company","Conroe","TX","Pine Belt Pale Ale",45,0.065,45,"American Pale Ale (APA)",16
119,"Southern Star Brewing Company","Conroe","TX","Buried Hatchet Stout",46,0.083,50,"Foreign / Export Stout",12
119,"Southern Star Brewing Company","Conroe","TX","Walloon (2014)",691,0.055,NA,"Saison / Farmhouse Ale",12
119,"Southern Star Brewing Company","Conroe","TX","Le Mort Vivant",1740,0.069,23,"Bière de Garde",12
119,"Southern Star Brewing Company","Conroe","TX","Bombshell Blonde",44,0.05,20,"American Blonde Ale",12
120,"Steamworks Brewing Company","Durango","CO","Third Eye Pale Ale",90,0.065,65,"American IPA",12
120,"Steamworks Brewing Company","Durango","CO","Colorado Kölsch",92,0.049,17,"Kölsch",12
120,"Steamworks Brewing Company","Durango","CO","Steam Engine Lager",91,0.057,25,"American Amber / Red Lager",12
120,"Steamworks Brewing Company","Durango","CO","Third Eye Enlightened Pale Ale",2386,0.065,65,"American Pale Ale (APA)",12
121,"Horny Goat Brew Pub","Milwaukee","WI","Watermelon Wheat",2385,0.056,NA,"American Pale Wheat Ale",12
121,"Horny Goat Brew Pub","Milwaukee","WI","Oktoberfest",2383,0.06,NA,"Märzen / Oktoberfest",16
121,"Horny Goat Brew Pub","Milwaukee","WI","Laka Laka Pineapple",2384,0.051,17,"Hefeweizen",12
122,"Cheboygan Brewing Company","Cheboygan","MI","Blood Orange Honey",2379,0.057,10,"Fruit / Vegetable Beer",16
122,"Cheboygan Brewing Company","Cheboygan","MI","IPA #11",2380,0.057,58,"American IPA",16
122,"Cheboygan Brewing Company","Cheboygan","MI","Lighthouse Amber",2354,0.052,NA,"Altbier",16
123,"Center of the Universe Brewing C...","Ashland","VA","Main St. Virginia Ale",1248,0.05,40,"Altbier",12
123,"Center of the Universe Brewing C...","Ashland","VA","Main St. Virginia Ale",2377,0.05,40,"Altbier",12
123,"Center of the Universe Brewing C...","Ashland","VA","Ray Ray’s Pale Ale",1247,0.052,42,"American Pale Ale (APA)",12
123,"Center of the Universe Brewing C...","Ashland","VA","Chin Music Amber Lager",1839,0.045,24,"American Amber / Red Lager",12
124,"Ipswich Ale Brewery","Ipswich","MA","Summer Ale",2376,0.049,NA,"American Blonde Ale",12
125,"Griffin Claw Brewing Company","Birmingham","MI","Mr. Blue Sky",2375,0.045,6,"American Pale Wheat Ale",16
125,"Griffin Claw Brewing Company","Birmingham","MI","Grand Trunk Bohemian Pils",2141,0.05,35,"Czech Pilsener",16
125,"Griffin Claw Brewing Company","Birmingham","MI","Norm's Gateway IPA",2007,0.04,55,"American IPA",12
125,"Griffin Claw Brewing Company","Birmingham","MI","Grind Line",2138,0.05,35,"American Pale Ale (APA)",16
125,"Griffin Claw Brewing Company","Birmingham","MI","Screamin’ Pumpkin",2142,0.05,25,"Pumpkin Ale",16
125,"Griffin Claw Brewing Company","Birmingham","MI","El Rojo",2140,0.065,25,"American Amber / Red Ale",16
125,"Griffin Claw Brewing Company","Birmingham","MI","Lemon Shandy Tripel",1570,0.09,NA,"Tripel",16
125,"Griffin Claw Brewing Company","Birmingham","MI","3 Scrooges",2143,0.065,NA,"Winter Warmer",16
125,"Griffin Claw Brewing Company","Birmingham","MI","Norm's Raggedy Ass IPA",2139,0.075,NA,"American IPA",16
126,"Karbach Brewing Company","Houston","TX","Love Street Summer Seasonal (2014)",1235,0.047,20,"Kölsch",12
126,"Karbach Brewing Company","Houston","TX","Hopadillo India Pale Ale",463,0.066,70,"American IPA",12
126,"Karbach Brewing Company","Houston","TX","Barn Burner Saison",1068,0.066,20,"Saison / Farmhouse Ale",12
126,"Karbach Brewing Company","Houston","TX","Rodeo Clown Double IPA",666,0.095,85,"American Double / Imperial IPA",12
126,"Karbach Brewing Company","Houston","TX","Weisse Versa",464,0.052,15,"Hefeweizen",12
126,"Karbach Brewing Company","Houston","TX","Karbachtoberfest",1458,0.055,25,"Märzen / Oktoberfest",12
126,"Karbach Brewing Company","Houston","TX","Sympathy for the Lager",465,0.049,45,"American Amber / Red Lager",12
126,"Karbach Brewing Company","Houston","TX","Mother in Lager",1560,0.058,25,"Munich Dunkel Lager",12
126,"Karbach Brewing Company","Houston","TX","Weekend Warrior Pale Ale",1557,0.055,40,"American Pale Ale (APA)",12
126,"Karbach Brewing Company","Houston","TX","Weisse Versa (2012)",2374,0.052,16,"Hefeweizen",12
127,"Uncle Billy's Brewery and Smokeh...","Austin","TX","Humbucker Helles",2367,0.047,25,"Maibock / Helles Bock",16
127,"Uncle Billy's Brewery and Smokeh...","Austin","TX","The Green Room",2372,0.06,75,"American IPA",16
128,"Deep Ellum Brewing Company","Dallas","TX","Oak Cliff Coffee Ale",2251,0.075,33,"American Brown Ale",12
128,"Deep Ellum Brewing Company","Dallas","TX","Double Brown Stout",1203,0.07,NA,"Baltic Porter",12
128,"Deep Ellum Brewing Company","Dallas","TX","Farmhouse Wit",1202,0.048,25,"Saison / Farmhouse Ale",16
128,"Deep Ellum Brewing Company","Dallas","TX","Rye Pils Session Lager",1161,0.046,NA,"German Pilsener",12
128,"Deep Ellum Brewing Company","Dallas","TX","Dream Crusher Double IPA",2166,0.085,100,"American Double / Imperial IPA",12
128,"Deep Ellum Brewing Company","Dallas","TX","Deep Ellum Pale Ale",1827,0.06,NA,"American Pale Ale (APA)",12
128,"Deep Ellum Brewing Company","Dallas","TX","Neato Bandito",2371,0.06,NA,"Euro Pale Lager",12
128,"Deep Ellum Brewing Company","Dallas","TX","Deep Ellum IPA",943,0.07,70,"American IPA",12
128,"Deep Ellum Brewing Company","Dallas","TX","Dallas Blonde",946,0.052,23,"American Blonde Ale",12
129,"Real Ale Brewing Company","Blanco","TX","18th Anniversary Gose",2370,0.044,5,"Gose",12
129,"Real Ale Brewing Company","Blanco","TX","BLAKKR",1861,0.099,85,"American Black Ale",12
129,"Real Ale Brewing Company","Blanco","TX","The Sword Iron Swan Ale",1290,0.059,NA,"English Pale Ale",12
129,"Real Ale Brewing Company","Blanco","TX","White (2015)",2211,0.046,25,"Witbier",12
129,"Real Ale Brewing Company","Blanco","TX","Firemans #4 Blonde Ale (2015)",830,0.051,21,"American Blonde Ale",12
129,"Real Ale Brewing Company","Blanco","TX","Hans' Pils (2015)",1091,0.053,52,"German Pilsener",12
129,"Real Ale Brewing Company","Blanco","TX","Firemans #4 Blonde Ale (2013)",1718,0.051,21,"American Blonde Ale",12
129,"Real Ale Brewing Company","Blanco","TX","Four Squared (2015)",1086,0.06,50,"American Blonde Ale",12
130,"Straub Brewery","St Mary's","PA","Straub Beer (Current)",2369,0.05,NA,"American Adjunct Lager",12
130,"Straub Brewery","St Mary's","PA","American Light",2231,0.032,13,"Light Lager",12
130,"Straub Brewery","St Mary's","PA","American Lager",2233,0.041,8,"American Adjunct Lager",12
130,"Straub Brewery","St Mary's","PA","American Amber",2232,0.041,8,"American Amber / Red Lager",12
131,"Shebeen Brewing Company","Wolcott","CT","Black Hop IPA",2368,0.068,NA,"American Black Ale",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Nude Beach Summer Wheat (2010)",141,0.05,7,"American Pale Wheat Ale",12
132,"Stevens Point Brewery","Stevens Point","WI","Onyx Black Ale",2151,0.052,9,"American Black Ale",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Special (Current)",2366,0.047,9,"American Adjunct Lager",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Nude Beach Summer Wheat (2011)",772,0.05,7,"American Pale Wheat Ale",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Oktoberfest",456,0.057,15,"Märzen / Oktoberfest",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Special (2012)",2121,0.047,9,"American Adjunct Lager",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Cascade Pale Ale",140,0.054,33,"American Pale Ale (APA)",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Special",2365,0.047,9,"American Adjunct Lager",12
132,"Stevens Point Brewery","Stevens Point","WI","Drop Dead Blonde",684,0.035,NA,"American Blonde Ale",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Amber Classic",139,0.047,14,"American Amber / Red Lager",12
132,"Stevens Point Brewery","Stevens Point","WI","2012 Black Ale",357,0.054,32,"American Brown Ale",12
132,"Stevens Point Brewery","Stevens Point","WI","Three Kings Ale",650,0.049,13,"Kölsch",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Oktoberfest",1357,0.057,15,"Märzen / Oktoberfest",16
132,"Stevens Point Brewery","Stevens Point","WI","Point Special Lager",2115,0.047,9,"American Adjunct Lager",16
132,"Stevens Point Brewery","Stevens Point","WI","St. Benedict's Winter Ale",1450,0.062,NA,"Winter Warmer",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Special (2013)",2122,0.047,9,"American Adjunct Lager",12
132,"Stevens Point Brewery","Stevens Point","WI","Beyond The Pale IPA",2150,0.063,64,"American IPA",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Special Lager",138,0.047,9,"American Adjunct Lager",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Cascade Pale Ale (2013)",2270,0.054,33,"American Pale Ale (APA)",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Nude Beach Summer Wheat",1225,0.052,7,"American Pale Wheat Ale",16
132,"Stevens Point Brewery","Stevens Point","WI","Point Nude Beach Summer Wheat",816,0.05,7,"American Pale Wheat Ale",12
132,"Stevens Point Brewery","Stevens Point","WI","Point Special",2228,0.047,9,"American Adjunct Lager",12
133,"Weston Brewing Company","Weston","MO","O’Malley’s Irish Style Cream Ale",2342,NA,NA,"Cream Ale",12
133,"Weston Brewing Company","Weston","MO","Rip Van Winkle (Current)",2348,0.08,NA,"Bock",12
133,"Weston Brewing Company","Weston","MO","O’Malley’s Stout",2344,NA,NA,"English Stout",12
133,"Weston Brewing Company","Weston","MO","O’Malley’s IPA",2343,0.075,89,"American IPA",12
133,"Weston Brewing Company","Weston","MO","L'il Lucy's Hot Pepper Ale",2341,0.049,28,"Chile Beer",12
133,"Weston Brewing Company","Weston","MO","Royal Lager",2364,NA,NA,"American Pale Lager",16
133,"Weston Brewing Company","Weston","MO","Drop Kick Ale",2340,0.052,NA,"American Amber / Red Ale",12
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Suzy B Dirty Blonde Ale",1118,0.05,20,"American Blonde Ale",16
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Hipster Breakfast",1120,0.058,40,"Oatmeal Stout",16
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Sinister Minister Black IPA",2346,0.077,65,"American IPA",16
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Mississippi Fire Ant",1745,0.08,80,"American Amber / Red Ale",16
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Devil's Harvest Extra Pale Ale",1117,0.058,60,"American Pale Ale (APA)",16
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Jack the Sipper",2320,0.053,45,"Extra Special / Strong Bitter (ESB)",12
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Devil's Harvest Extra Pale Ale",2297,0.058,60,"American Pale Ale (APA)",12
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","Suzy B Dirty Blonde Ale",2296,0.05,20,"American Blonde Ale",12
134,"Southern Prohibition Brewing Com...","Hattiesburg","MS","2014 IPA Cicada Series",2362,0.075,72,"American IPA",16
135,"Minhas Craft Brewery","Monroe","WI","Boxer",2273,0.05,NA,"American Adjunct Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Minhas Light (2012)",2358,0.04,NA,"Light Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Axe Head Malt Liquor",2361,0.099,NA,"American Malt Liquor",24
135,"Minhas Craft Brewery","Monroe","WI","Huber",2282,0.05,NA,"American Pale Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Clear Creek Ice",2280,0.062,NA,"American Pale Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Boxer",2276,0.05,NA,"American Adjunct Lager",24
135,"Minhas Craft Brewery","Monroe","WI","Boxer Ice",2274,0.055,NA,"American Adjunct Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Mountain Crest",2278,0.055,NA,"American Pale Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Mountain Creek (2013)",2277,0.055,NA,"American Pale Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Boxer Light",2275,0.042,NA,"Light Lager",12
135,"Minhas Craft Brewery","Monroe","WI","Clear Creek Ice",2281,0.062,NA,"American Pale Lager",16
135,"Minhas Craft Brewery","Monroe","WI","Huber Bock (2014)",2359,0.054,NA,"Bock",16
135,"Minhas Craft Brewery","Monroe","WI","Mountain Crest",2279,0.055,NA,"American Pale Lager",16
136,"Pug Ryan's Brewery","Dillon","CO","Dead Eye Dunkel",1462,0.06,15,"Munich Dunkel Lager",12
136,"Pug Ryan's Brewery","Dillon","CO","Morning Wood Wheat (Current)",2360,0.059,14,"American Pale Wheat Ale",12
136,"Pug Ryan's Brewery","Dillon","CO","Morning Wood Wheat (Current)",130,0.059,14,"American Pale Wheat Ale",12
136,"Pug Ryan's Brewery","Dillon","CO","Hideout Helles",1463,0.069,17,"Munich Helles Lager",12
136,"Pug Ryan's Brewery","Dillon","CO","Peacemaker Pilsner",1461,0.058,21,"Czech Pilsener",12
136,"Pug Ryan's Brewery","Dillon","CO","Over the Rail Pale Ale",711,0.057,68,"American Pale Ale (APA)",12
136,"Pug Ryan's Brewery","Dillon","CO","Pallavicini Pilsner (2009)",188,0.058,21,"Czech Pilsener",12
137,"Hops & Grains Brewing Company","Austin","TX","Porter Culture",2357,0.065,NA,"American Porter",12
138,"Sietsema Orchards and Cider Mill","Ada","MI","Sietsema Red Label",2353,0.069,NA,"Cider",16
139,"Summit Brewing Company","St Paul","MN","Extra Pale Ale",2352,0.053,49,"American Pale Ale (APA)",12
140,"Core Brewing & Distilling Company","Springdale","AR","Arkansas Red",1650,0.052,NA,"American Amber / Red Ale",12
140,"Core Brewing & Distilling Company","Springdale","AR","Core Oatmeal Stout",1337,0.057,NA,"Oatmeal Stout",12
140,"Core Brewing & Distilling Company","Springdale","AR","Core ESB",1336,0.061,NA,"Extra Special / Strong Bitter (ESB)",12
140,"Core Brewing & Distilling Company","Springdale","AR","Behemoth",2351,0.05,NA,"American Pilsner",12
141,"Independence Brewing Company","Austin","TX","Power & Light",2301,0.055,42,"American Pale Ale (APA)",12
141,"Independence Brewing Company","Austin","TX","White Rabbit ",1904,0.059,27,"Witbier",12
141,"Independence Brewing Company","Austin","TX","Oklahoma Suks",2350,0.048,32,"American Amber / Red Ale",12
142,"Cigar City Brewing Company","Tampa","FL","Florida Cracker Belgian Wit",545,0.05,18,"Witbier",12
142,"Cigar City Brewing Company","Tampa","FL","Oktoberfest",2011,0.055,NA,"Märzen / Oktoberfest",12
142,"Cigar City Brewing Company","Tampa","FL","Wiregrass Post-Prohibition Ale",1695,0.063,NA,"American Pale Ale (APA)",12
142,"Cigar City Brewing Company","Tampa","FL","Hopped on the High Seas (Citra)",1693,0.07,60,"American IPA",12
142,"Cigar City Brewing Company","Tampa","FL","Dry-Hopped On The High Seas Caribbean-Style IPA",1694,0.07,60,"American IPA",12
142,"Cigar City Brewing Company","Tampa","FL","Humidor Series India Pale Ale",1142,0.075,70,"American IPA",12
142,"Cigar City Brewing Company","Tampa","FL","Hopped on the High Seas (Calypso)",1725,0.07,60,"American IPA",12
142,"Cigar City Brewing Company","Tampa","FL","Happening Now",2009,0.045,NA,"American IPA",12
142,"Cigar City Brewing Company","Tampa","FL","Jai Alai IPA Aged on White Oak",1141,0.075,70,"American IPA",12
142,"Cigar City Brewing Company","Tampa","FL","José Martí American Porter",1140,0.08,65,"American Porter",12
142,"Cigar City Brewing Company","Tampa","FL","Sugar Plum",2012,0.055,NA,"American Brown Ale",12
142,"Cigar City Brewing Company","Tampa","FL","Tocobaga Red Ale",569,0.072,75,"American Amber / Red Ale",12
142,"Cigar City Brewing Company","Tampa","FL","Puppy's Breath Porter",2010,0.06,NA,"American Porter",12
142,"Cigar City Brewing Company","Tampa","FL","Invasion Pale Ale",1139,0.05,NA,"American Pale Ale (APA)",12
